Co2TiAl;ZT value;0.005;dimensionless;900 K;10.1007/s00339-023-06744-5;;;
Constantan;ZT value;0.18;dimensionless;1073 K;10.1007/s11664-014-3569-4;;;
Cu;Cl co-doped Bi2S3 (Cu0.01; 0.175 mol% Cl);ZT value;0.7;dimensionless;773 K;10.1007/s12598-021-01848-4;
Ga;Ag-codoped Bi0.42Sb1.5535Te3;ZT value;1.15;dimensionless;360 K;10.1007/s11664-014-3446-1;;
Ni-substituted tetrahedrite;ZT value;0.15;dimensionless;340 K;10.3938/jkps.74.967;;;
TiFe1.9815Mn0.0185Sn;ZT value;0.022;dimensionless;375 K;10.1007/s11661-024-07619-x;;;
MnSi1.733SiGe;ZT value;0.5;unitless;550 °C;10.1016/j.matchemphys.2010.08.017;;;
Zr2CoSi;ZT value;0.14;dimensionless;1200 K;10.1007/s11664-017-6034-3;;;
ZrNiSn (bulk);ZT value;0.2;dimensionless;600 K;10.1007/s11664-015-4205-7;;;
Silicon nanostructures;ZT value;1;dimensionless;298.15 K;10.1140/epjb/e2015-50673-9;;;
Silicon;ZT value;0.01;dimensionless;300 K;10.1038/s41524-023-01162-w;;;
Mn3Si4Al2;ZT value;0.21;dimensionless;773 K;10.1557/jmr.2015.145;;;
Cu-doped TiNiSn (x = 0.05);ZT value;0.58;dimensionless;773 K;10.1557/s43578-024-01456-9;;;
SiGe;ZT value;1.3;unitless;900 °C;10.1016/j.pmatsci.2016.07.002;;;
β-FeSi2-based bulk thermoelectric material;ZT value;0.59;dimensionless;1200 K;10.1007/s10854-023-11472-w;;;
Si/NiSi2 composite films;ZT value;0.13;dimensionless;298.15 K;10.1007/s11664-020-07983-5;;;
p-type TiNiSn;ZT value;0.45;dimensionless;650 K;10.1134/S106378261707020X;;;
W;Ge-doped MnSi1.75;ZT value;0.08;dimensionless;325 K;10.1007/s11664-015-3854-x;;
Cu-doped ZrNiSn (0.02);ZT value;0.81;dimensionless;775 K;10.1557/s43578-024-01456-9;;;
SiGe (ball milled 2 h; powder:ball 1:40; SPS consolidated);ZT value;0.95;dimensionless;1000 K;10.1007/s11664-018-6334-2;
nanostructured Si80Ge20 alloy;ZT value;1.3;dimensionless;900 °C;10.1557/jmr.2011.117;;;
Silicon germanium alloy;ZT value;0.96;dimensionless;1000 °C;10.1007/s11837-024-06941-4;;;
Fe2V0.8W0.2Al;ZT value;5;dimensionless;298.15 K;10.1038/s41586-019-1751-9;;;
p-type SiGe (Silicon germanium);ZT value;1.148;dimensionless;1504.5 K;10.1007/s11664-018-6766-8;;;
nano-Si;ZT value;0.7;dimensionless;1275 K;10.1007/s11664-020-07983-5;;;
Si0.8Ge0.2;ZT value;1.3;unitless;not specified;10.1016/j.renene.2014.08.059;;;
Fe0.3Co0.7Si;ZT value;4.00E-03;unitless;not specified;10.1016/j.jallcom.2017.01.217;;;
Mn0.95Cr0.05Si1.74;ZT value;0.6;unitless;850 K;10.1016/j.jallcom.2013.07.136;;;
V2FeNiGe2 (n-type; ab initio);ZT value;0.95;dimensionless;1000 K;10.1007/s11664-023-10589-2;;
Si24;ZT value;0.69;dimensionless;700 K;10.1140/epjb/s10051-021-00251-3;;;
Titanium disulfide;ZT value;0.35;dimensionless;100 °C;10.1007/s10854-021-06914-2;;;
Cu-based thermoelectric material (e.g.; Cu3SbS4; CuFeS2; Cu2O);ZT value;0.72;dimensionless;623 K;10.1134/S0021364021180041
Cobalt-Silicon Alloy (Co33Si66);ZT value;0.017;dimensionless;300 K;10.1134/S0031918X13080085;;;
Al; Mo; Ge-doped MnSi1.73;ZT value;0.09;dimensionless;325 K;10.1007/s11664-015-3854-x;
V2FeNiGe2 (p-type; ab initio);ZT value;1.33;dimensionless;1000 K;10.1007/s11664-023-10589-2;;
Silicon (bulk form);ZT value;0.05;dimensionless;298.15 K;10.1557/jmr.2015.202;;;
Silicon-Germanium alloy (Si0.65Ge0.25);ZT value;0.63;dimensionless;490 °C;10.1134/S1063784224020105;;;
Silicon-germanium (SiGe) nano-alloy;ZT value;0.94;dimensionless;1123 K;10.1007/s11664-020-08560-6;;;
Silicene nanoribbon;ZT value;3.5;dimensionless;298.15 K;10.1038/srep09514;;;
Tin selenide;ZT value;2.6;dimensionless;926 K;10.1007/s10854-021-05807-8;;;
ZrNiSn;ZT value;1.1;dimensionless;1100 K;10.1007/s12598-019-01235-0;;;
Si0.7Ge0.3;ZT value;∼1;unitless;1100 K;10.1016/j.mser.2009.10.001;;;
(CrSi2)0.90(WSi2)0.10;ZT value;0.29;unitless;750 K;10.1016/j.jallcom.2016.08.185;;;
Al-doped higher manganese silicide (Mn(AlxSi1−x)1.80; x=0.0015);ZT value;0.65;dimensionless;850 K;10.1007/s11664-011-1612-2;;
Cobalt ditelluride;ZT value;3.70E-02;dimensionless;619 K;10.1007/s10854-023-09915-5;;;
Silicon-Germanium alloy (Si0.8Ge0.2);ZT value;0.136;dimensionless;490 °C;10.1134/S1063784224020105;;;
Ti0.5Zr0.5NiSn;ZT value;0.55;dimensionless;899 K;10.1007/s00339-021-05193-2;;;
V17Ge31 (vanadium germanide);ZT value;3.70E-03;dimensionless;900 K;10.1007/s11664-015-4036-6;;;
Ti-Sn terminated surface;ZT value;0.78;dimensionless;298.15 K;10.1007/s10765-021-02830-z;;;
CrSi2;ZT value;0.2;unitless;450 K;10.1016/j.jallcom.2013.07.020;;;
MnSi1.75;ZT value;0.62;dimensionless;800 K;10.1007/s11664-012-2415-9;;;
n-type Si80Ge20 nanostructured alloy;ZT value;1.5;dimensionless;900 °C;10.1557/opl.2012.1731;;;
TiNiSn-based thermoelectric materials;ZT value;0.49;dimensionless;750 K;10.1007/s11664-017-6013-8;;;
SnGe;ZT value;1.17;unitless;300 K;10.1016/j.apsusc.2016.11.105;;;
CoZrSi;ZT value;0.51;dimensionless;900 K;10.1038/s41598-023-48316-w;;;
ZrNi1.1Sn;ZT value;0.75;unitless;900 K;10.1016/j.actamat.2014.11.042;;;
Ni;ZT value;0.02;unitless;750 K;10.1016/j.apenergy.2017.02.001;;;
TiFe2Sn;ZT value;0.015;dimensionless;300 K;10.1007/s11661-024-07619-x;;;
NiFeCrAl;ZT value;0.95;dimensionless;298.15 K;10.1007/s10948-024-06701-0;;;
SiGe-based nanostructured thermoelectric material;ZT value;1.3;dimensionless;1073 K;10.1007/s10854-023-11472-w;;;
Silver selenide;ZT value;0.92;dimensionless;300 K;10.1007/s12613-024-2973-x;;;
Co2TiSi;ZT value;5.10E-04;dimensionless;800 K;10.1007/s11082-023-04793-x;;;
Mn0.97Cr0.03Si1.74;ZT value;0.6;unitless;850 K;10.1016/j.jallcom.2013.07.136;;;
β-FeSi2;ZT value;0.23;dimensionless;1150 K;10.1007/s12666-019-01743-8;;;
Fe0.94Co0.06Si2.00;ZT value;0.25;unitless;908 K;10.1016/j.jallcom.2006.06.080;;;
Fe2VAl;ZT value;2.19E-03;unitless;309 K;10.1016/j.jallcom.2014.05.137;;;
Fe0.95Co0.05Si2;ZT value;0.182;unitless;923 K;10.1016/j.jallcom.2006.08.045;;;
