bismuth telluride alloy nanorods;ZT value;0.47;dimensionless;430 K;10.1007/s11664-016-5104-2;;;
Ti0.5Zr0.5NiSn;ZT value;0.55;dimensionless;899 K;10.1007/s00339-021-05193-2;;;
bismuth telluride;ZT value;1;dimensionless;298.15 K;10.1007/s11664-015-3682-z;;;
Silicon nanostructures;ZT value;1;dimensionless;298.15 K;10.1140/epjb/e2015-50673-9;;;
Sn;Se double-doped Cu3SbS4 (Cu3Sb0.92Sn0.08S3.75Se0.25);ZT value;0.67;dimensionless;623 K;10.1007/s40042-023-00798-7;;
Silicene nanoribbon;ZT value;3.5;dimensionless;298.15 K;10.1038/srep09514;;;
(Zr0.5;Hf0.5)NiSn;ZT value;0.9;dimensionless;1000 K;10.1557/opl.2011.303;;
Si0.7Ge0.3;ZT value;∼1;unitless;1100 K;10.1016/j.mser.2009.10.001;;;
CrSi2;ZT value;0.2;unitless;450 K;10.1016/j.jallcom.2013.07.020;;;
Mn0.95Cr0.5Si1.74;ZT value;0.6;unitless;850 K;10.1016/j.jallcom.2013.07.136;;;
n-type SiGe;ZT value;1.5;dimensionless;900 K;10.1007/s12274-021-3414-7;;;
n-type SiGe (nanostructured);ZT value;1.3;dimensionless;1200 K;10.1007/s11664-018-6766-8;;;
Cu-based thermoelectric material (e.g.;" Cu3SbS4";" CuFeS2";" Cu2O)";ZT value;0.72;dimensionless;623 K;10.1134/S0021364021180041
Ge;" Te";" S multi-doped CoSb3 (Co4Sb11.25Ge0.05Te0.63S0.07)";ZT value;1.1;dimensionless;800 K;10.1007/s11664-012-2288-y;
Mn0.97Cr0.03Si1.74;ZT value;0.6;unitless;850 K;10.1016/j.jallcom.2013.07.136;;;
Silicon (bulk form);ZT value;0.05;dimensionless;298.15 K;10.1557/jmr.2015.202;;;
Co2TiSn;ZT value;7.00E-04;dimensionless;800 K;10.1007/s11082-023-04793-x;;;
bismuth telluride-based nanoplates;ZT value;0.43;dimensionless;175 °C;10.1038/srep33135;;;
Fe0.95Co0.05Si2;ZT value;0.182;unitless;923 K;10.1016/j.jallcom.2006.08.045;;;
Si/Ge nanocomposite;ZT value;0.72;dimensionless;1000 K;10.1134/S1995078019040098;;;
MnSi1.77Ge0.027;ZT value;0.61;unitless;823 K;10.1016/j.scriptamat.2017.03.011;;;
Cobalt ditelluride;ZT value;3.70E-02;dimensionless;619 K;10.1007/s10854-023-09915-5;;;
CoZrSi;ZT value;0.51;dimensionless;900 K;10.1038/s41598-023-48316-w;;;
